﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1MANhf0nwr6gFwsRJMeDbr","Turning Japanese - Non Stop Edit","The Vapors","New Clear Days","1","2","224106","spotify:user:12169871666","2020-02-17T20:00:10Z"
"spotify:track:6zfczP87XO2SxWlQtnjFNa","The Look","Metronomy","The English Riviera","1","4","277653","spotify:user:12169871666","2020-02-17T20:01:02Z"
"spotify:track:6uPNKZWI5LYaDqBPwoQjmD","Bastardo","Charlotte Hatherley","Grey Will Fade","1","9","236640","spotify:user:12169871666","2020-02-17T20:01:54Z"
"spotify:track:0afhq8XCExXpqazXczTSve","Galway Girl","Ed Sheeran","÷ (Deluxe)","1","6","170826","spotify:user:12169871666","2020-02-17T20:05:19Z"
"spotify:track:3PUIguYpwKFXmfGD6uU7Jl","Glad He's Gone","Tove Lo","Sunshine Kitty","1","2","196348","spotify:user:12169871666","2020-02-17T20:06:51Z"
"spotify:track:2LJhMEdHmHXtzR8oJaNy3m","No Distraction","Beck","Colors","1","5","272423","spotify:user:12169871666","2020-02-17T20:07:21Z"
"spotify:track:7cXqhmohfNtwm5ZPgp4Cpi","Gamma Knife","King Gizzard & The Lizard Wizard","Nonagon Infinity","1","3","261463","spotify:user:12169871666","2020-02-17T20:07:35Z"
"spotify:track:2oaK4JLVnmRGIO9ytBE1bt","Dark Necessities","Red Hot Chili Peppers","The Getaway","1","2","302000","spotify:user:12169871666","2020-02-17T20:07:41Z"
"spotify:track:0mQnLhHH5WwRc5gtnzLtK6","Tilted","Christine and the Queens","Christine And The Queens","1","3","233247","spotify:user:12169871666","2020-02-17T20:07:49Z"
"spotify:track:5uZLsGY9fknBd5Rxr7AIss","Shut Up Kiss Me","Angel Olsen","MY WOMAN","1","3","202200","spotify:user:12169871666","2020-02-17T20:08:03Z"
"spotify:track:5vEjsd8G0S4VUbkxvpuulH","A New Beginning","Wolfie's Just Fine","I Remembered but Then I Forgot","1","5","292560","spotify:user:12169871666","2020-02-17T20:08:07Z"
"spotify:track:5puD5DykxLKhlNy3GckU6Z","Ch-Ching","Chairlift","Moth","1","4","227520","spotify:user:12169871666","2020-02-17T20:08:29Z"
"spotify:track:2iafjfqKGVJFsQpdWBBKhj","In Waves","Slow Club","One Day All of This Won't Matter Anymore","1","3","229386","spotify:user:12169871666","2020-02-17T20:08:37Z"
"spotify:track:6rdPOO6QBwbDwfBJrXkb3S","Slip Away","Perfume Genius","Slip Away","1","1","165329","spotify:user:12169871666","2020-02-17T20:09:05Z"
"spotify:track:6dbo1dCjqgVS3XHcnJmOHx","Hear This","Jarami","Hear This","1","1","196262","spotify:user:12169871666","2020-02-17T20:09:10Z"
"spotify:track:1XG1eGpLCdZu3v1M7LMFZb","D.R.U.G.S.","Rejjie Snow","D.R.U.G.S.","1","1","200746","spotify:user:12169871666","2020-02-17T20:09:21Z"
"spotify:track:5r6YC4b3ztVDzk6LDVGuIh","Missionary Position","Sparks","Hippopotamus","1","2","258077","spotify:user:12169871666","2020-02-17T20:09:26Z"
"spotify:track:2A9rFFPwsnhusCh8ZMBvYY","Nobody Speak","DJ Shadow, Run The Jewels","The Mountain Will Fall","1","2","195965","spotify:user:12169871666","2020-02-17T20:11:35Z"
"spotify:track:4gIAnVHAGema5dl4omzid1","ATTITUDE","PayAttention","ATTITUDE","1","1","190432","spotify:user:12169871666","2020-02-17T20:12:48Z"
"spotify:track:7wfQfnNFGWLD0BzcDngCRg","Money","Leikeli47","Wash & Set","1","6","175146","spotify:user:12169871666","2020-02-17T20:14:24Z"
"spotify:track:1QWJmDzpPKqewtg0abEyq8","Super Trouper","Cher, Meryl Streep, Christine Baranski, Julie Walters, Pierce Brosnan, Colin Firth, Stellan Skarsgård, Andy Garcia, Amanda Seyfried, Dominic Cooper, Lily James, Jessica Keenan Wynn, Alexa Davies, Josh Dylan, Jeremy Irvine, Hugh Skinner","Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack)","1","17","231480","spotify:user:12169871666","2020-02-17T20:15:26Z"
